mlb_id,mlb_name,bp_id,fangraphs,fg_RE24,bp_ERA,bp_FIP,fg_xFIP,bp_cFIP,bp_DRA,fg_SIERA
518655,John Ely,56222,6132,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
518713,John Gast,65869,11133,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
452105,John Hester,52534,877,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543308,John Hicks,70307,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
458720,John Holdzkom,52034,9392,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
444379,John Jaso,46195,5887,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
407793,John Lackey,886,1507,21.57,2.77,3.59,3.77,98,4.13,3.9
543424,John Lamb,60837,8493,-8.41,5.8,4.19,3.73,97,5.88,3.56
458709,John Lannan,46313,7080,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
460055,John Mayberry Jr.,48107,3390,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
150348,John McDonald,1107,395,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
571974,John Ryan Murphy,60633,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
456501,Johnny Cueto,47415,6893,17.54,3.44,3.53,3.78,93,3.59,3.81
543213,Johnny Giavotella,58220,6740,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
518782,Johnny Hellweg,57958,10065,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
476192,Johnny Monell,56135,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
457754,Jon Edwards,51990,1483,-0.78,4.32,6.5,5.59,109,5.86,5.01
445055,Jon Jay,52296,5227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
452657,Jon Lester,45548,4930,6.12,3.34,2.95,3.06,79,3.89,3.19
477003,Jon Niese,46468,4424,-14.62,4.13,4.44,4.11,117,5.47,4.27
572138,Jon Singleton,60676,10441,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
452293,Jonathan Albaladejo,46956,3521,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
455009,Jonathan Broxton,33197,4759,-6.82,4.62,3.68,3.24,95,4.64,3.15
502409,Jonathan Diaz,50271,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
468406,Jonathan Herrera,47843,4182,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
518960,Jonathan Lucroy,57191,7870,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
449097,Jonathan Papelbon,45568,5975,10.65,2.13,3.73,3.71,95,3.3,3.14
543643,Jonathan Pettibone,58538,7106,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
456043,Jonathan Sanchez,48879,7507,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
570731,Jonathan Schoop,66391,11265,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
542340,Jonathan Villar,59688,10071,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
430404,Jonny Gomes,31646,1845,-1.55,18,14.16,7.04,105,21.93,6.61
458924,Jonny Venters,46827,7175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
488740,Jordan Brown,49269,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
458668,Jordan Danks,58296,9187,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543475,Jordan Lyles,58407,7593,-1.79,5.14,3.81,4.4,109,4.14,4.7
467099,Jordan Norberto,49831,8432,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
457574,Jordan Pacheco,57053,2677,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
457788,Jordan Schafer,48789,9883,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
477229,Jordan Walden,56948,3271,4.44,0.87,2,3.12,91,3.47,3
519455,Jordan Zimmermann,57163,4505,5.74,3.66,3.78,3.82,98,4.12,3.83
518170,Jordany Valdespin,56899,5098,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
474568,Jordy Mercer,58450,6547,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
595751,Jorge Alfaro,68062,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
593528,Jorge Bonifacio,67347,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
407822,Jorge De La Rosa,31714,2047,4.13,4.17,4.22,3.84,105,4,4.1
501529,Jorge De Leon,50803,5397,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
593871,Jorge Polanco,67568,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
504083,Jorge Rondon,50374,5791,-16.89,13.19,6.46,5.62,118,10.37,5.27
624585,Jorge Soler,101657,14221,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
547989,Jose Abreu,102005,15676,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
514888,Jose Altuve,55877,5417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
501625,Jose Alvarez,50878,5358,-0.52,3.49,3.57,3.9,99,3.87,3.53
461766,Jose Arredondo,47009,4722,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
430832,Jose Bautista,32570,1887,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
542585,Jose Cisnero,59872,6399,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
468429,Jose Constanza,45885,6003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
473265,Jose De La Torre,49738,787,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
517059,Jose De Paula,55829,5744,0.62,2.7,9.4,8.19,111,7.11,8.31
523848,Jose Dominguez,57610,11571,2.71,0,2.4,2.69,98,0.11,2.59
605228,Jose Fernandez,70444,11530,8.07,2.92,2.26,2.62,76,3.49,2.77
578428,Jose Iglesias,61044,10231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
446653,Jose Lobaton,47910,4243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
467726,Jose Mijares,46329,4140,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
514639,Jose Ortega,57042,9651,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
606299,Jose Peraza,69752,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
517369,Jose Pirela,57268,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
500779,Jose Quintana,51645,11423,11.23,3.36,3.15,3.51,82,4.22,3.62
542432,Jose Ramirez,60812,10171,-13.74,12.91,6.89,9.8,119,12.28,6.93
608070,Jose Ramirez,70217,13510,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
408314,Jose Reyes,31511,1736,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
467798,Jose Tabata,49082,2411,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
570632,Jose Urena,66311,11589,-8.41,5.25,4.67,5.22,124,5.6,5.29
451990,Jose Valdez,44083,3217,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572308,Jose Valdez,66604,14470,-2.59,4,6.44,6.04,116,5.74,5.6
407878,Jose Valverde,31436,1726,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
407842,Jose Veras,44239,2063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
277417,Josh Beckett,489,510,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
458679,Josh Bell,47065,2510,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
518567,Josh Collmenter,55734,7312,9.97,3.79,4.67,4.68,120,4.57,4.71
518626,Josh Donaldson,56185,5038,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572831,Josh Edgin,66639,10796,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
451661,Josh Fields,59166,5070,6.62,3.55,2.16,3.33,71,2.68,2.68
285078,Josh Hamilton,31647,1875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543281,Josh Harrison,57951,8202,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
435178,Josh Johnson,45545,4567,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
448337,Josh Kinney,37983,3638,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
458676,Josh Lindblom,58386,7882,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
518961,Josh Lueke,55992,5722,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
489189,Josh Outman,46496,4004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572033,Josh Phegley,60649,9308,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572389,Josh Prince,60148,6746,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
502210,Josh Reddick,56609,3892,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
502158,Josh Roenicke,50158,3241,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
592710,Josh Rutledge,67105,11167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543744,Josh Satin,58632,6788,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
595001,Josh Smith,67875,10946,-10.76,6.89,5.7,5.31,117,7.34,5
543805,Josh Spence,65991,11260,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
502139,Josh Stinson,50146,3219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
489365,Josh Thole,46730,9689,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
458708,Josh Tomlin,52032,9388,10.36,3.02,4.4,3.77,94,3.51,3.46
519388,Josh Vitters,57576,4623,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
476205,Josh Wall,49044,4436,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
425545,Josh Willingham,31494,2103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
425543,Josh Wilson,31495,2102,-0.5,9,16.1,6.09,108,12.16,5.8
473646,Josh Zeid,59195,6527,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
500887,Josmil Pinto,51667,6806,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
434663,Juan Carlos Oviedo,40448,2886,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
518542,Juan Centeno,55701,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
501726,Juan Diaz,50972,9235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
544269,Juan Duran,60063,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
464433,Juan Francisco,52175,6978,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
434641,Juan Gutierrez,47699,3265,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
462089,Juan Jaime,52076,6127,-0.63,6.75,10.66,11.74,110,6.49,14.39
501571,Juan Lagares,50845,5384,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
504379,Juan Nicasio,57000,7731,0.6,3.86,2.85,3.87,93,4.65,3.77
543633,Juan Perez,60026,2557,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
407487,Juan Rivera,1605,843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
346874,Juan Uribe,858,454,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
474865,Julio Borbon,57657,3209,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
573650,Julio Morban,60305,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
527054,Julio Teheran,58731,6797,-4.79,4.04,4.43,4.19,112,4.21,4.23
471822,Jumbo Diaz,34744,3397,-0.52,4.18,3.82,3.2,88,4.37,2.84
628356,Jung Ho Kang,102282,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
547749,Junichi Tazawa,58984,4079,0.51,4.14,3.02,3.73,87,4.11,3.22
516809,Junior Lake,56563,4672,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
595777,Jurickson Profar,68066,10815,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
571506,Justin Bour,59603,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
451629,Justin Christian,47287,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
518603,Justin De Fratus,55795,4955,-15.63,5.51,4.31,4.46,108,4.77,4.03
543178,Justin Freeman,57859,7568,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
430683,Justin Germano,35975,1938,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
518748,Justin Grimm,68390,11720,2.44,1.99,3.14,3.05,87,3.53,3
476123,Justin Marks,59212,10265,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
475416,Justin Masterson,49766,2038,-5.73,5.61,4.86,4.72,115,6.17,4.36
452239,Justin Maxwell,52567,6827,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
502522,Justin Miller,58260,8580,8.58,4.05,2.65,3.22,83,1.74,2.84
408047,Justin Morneau,31760,1737,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
592593,Justin Nicolino,68637,11754,1.96,4.01,4.88,5.3,126,5.12,5.59
592604,Justin O'Conner,67068,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
448605,Justin Ruggiano,46669,7620,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
