NAME,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,playerid
Yordano Ventura,Royals,15.1,-1.39, , , , , , ,-0.67, , ,-8.06, , ,11855
Brian Matusz,Orioles,51,0.55,1.92,-0.05, , , ,1.9,4.07, , ,-2.78, , ,2646
Tim Collins,Royals,53.1,0.1, ,14.45, , , , ,-0.2, , ,0.71, , ,3164
Wade Miley,Diamondbacks,202.2,-1.11,0.51, , , , ,-0.83,-0.4, , ,1.39, , ,8779
Yusmeiro Petit,Giants,48,0.81, ,-1.86, , , ,-1.76,3.84, , ,3, , ,4020
Hector Santiago,White Sox,149,0.8,3.79,-1.65, , ,0.49,-1.58,-2.51, , ,-0.79,-2.45, ,4026
Jaime Garcia,Cardinals,55.1,1.62,-1.19,-2.03, , , ,0.56,0.36, , ,-0.43, , ,8137
James Russell,Cubs,52.2,1.49,-4.43,-1.37, , , ,0.91,-14.76, , ,2.25, , ,4089
Wandy Rodriguez,Pirates,62.2,-0.86,0.73,6.12, , , , ,0.65, , ,-3.05, , ,2586
Henderson Alvarez,Marlins,102.2,0.29,1.41, , , , ,-0.79,-0.36, , ,-5.44, , ,5669
Cole Hamels,Phillies,220,-0.75, ,-1.03, , , , ,-0.44, , ,3.36, , ,4972
Scott Baker,Cubs,15, , , , , ,1.04,0.01, , , ,-0.03, , ,6176
Taijuan Walker,Mariners,15,0.95, ,1.66, , , ,4.2,-0.78, , ,-3.04, , ,11836
Pedro Beato,Red Sox,10,0.5, , , , ,-0.7,-8.27,4.45, , , , , ,1330
Dillon Gee,Mets,199,-0.48,-0.78,-2.12, , , ,-0.45,1.56, , ,0.1, , ,7396
Martin Perez,Rangers,124.1,-0.58,-1.13, , , , ,-0.23,-1.63, , ,1.9, , ,6902
Taylor Jordan,Nationals,51.2,-0.38,-1.37,-0.47, , , ,2.94,1.73, , ,0.95, , ,10466
Doug Fister,Tigers,208.2,0.53,0.58,-1.46, , , ,-4.08,0.28, , ,0.55, , ,9425
Donovan Hand,Brewers,68.1,-0.82,-2.39, , , ,0.36,0.94,-0.77, , ,-0.46, , ,8728
Wesley Wright,- - -,53.2,2,-0.75, , , , ,-0.13,-2.32, , ,1.85, , ,5960
Juan Perez,Blue Jays,31.2,3.33,0.26, , , ,-1.2,1.75, , , ,21, , ,2557
Troy Patton,Orioles,56, ,-0.2, , , , ,0.66,-2.45, , ,-1.52, , ,8368
Ricky Nolasco,- - -,199.1,-1.28,1.45,3.47,-0.22, , ,1.51,-0.07, , ,-3.28, , ,3830
Stephen Fife,Dodgers,58.1,-1.78,1.21, , , , ,-0.59,0.47, , ,-0.66, , ,8077
Cesar Jimenez,Phillies,17,-0.26,2.9, , , , ,-0.27,-2.15, , ,1.22, , ,3762
Vic Black,- - -,17,-0.92,4,-3.56, , , ,1.11,2.92, , , , , ,9195
Robert Coello,Angels,17,0.78, ,-0.93, ,-2.38, , ,3.85, , ,1.35, , ,1149
Scott Rice,Mets,51,2.7,7.15, , , ,0.34,2.47, , , ,-0.4, , ,2743
Chris Tillman,Orioles,206.1,0.4,2.59,0.41, , , ,-1.61,-0.44,-0.56, ,-0.16, , ,5279
Jon Niese,Mets,143,0.71,0.37,0.19, , , , ,-2.02, , ,-1.99, , ,4424
Luis Garcia,Phillies,31.1,-0.47,0.15, , , , ,-0.46,-3.56, , , , , ,6984
Michael Kohn,Angels,53,0.51,2.29, , , , ,-3.43,3.36, , ,-4.72, , ,8505
Oliver Perez,Mariners,53,-1.74, , , , ,-0.58,1.99,5.3, , ,6.7, , ,1514
Jacob Turner,Marlins,118,-0.02,0.18,-2.38, , , , ,0.1, , ,-1.31, , ,10185
Charlie Furbush,Mariners,65,0.96,-1.01, , , , ,0.85,0.54, , ,-1.59, , ,1370
Matt Thornton,- - -,43.1,0.11,1.11,-3.41, , , ,0.08, , , , , , ,1918
Andy Pettitte,Yankees,185.1,-0.65,-0.13,1, , , ,-0.02,1.1, , ,-1.38, , ,840
Jeremy Affeldt,Giants,33.2,-0.37,1.42, , , , , ,-0.12, , ,-0.09, , ,583
Tim Stauffer,Padres,69.2,1.06,0.57, , , , ,0.37,-1.33, , ,1.27, , ,6432
Zach McAllister,Indians,134.1,0.21,0.84, ,-6.33, , ,-1.89,-0.74, , ,-1.78, , ,2895
Jon Lester,Red Sox,213.1,0.46, ,0.42, , ,-0.36, ,-0.82, , ,0.67, , ,4930
Dan Jennings,Marlins,40.2,0.78,-3.25, , , , ,-0.49, , , ,-1.43, , ,8073
Andrew Bailey,Red Sox,28.2,-0.73, ,2.25, , , , ,-0.39, , ,-15, , ,1368
Josh Edgin,Mets,28.2,0.75,4.68, , , , ,-0.85, , , ,1.9, , ,10796
Cory Gearrin,Braves,31,-1.01, , , , ,-0.31,0.87, , , ,0.82, , ,7947
Miguel Gonzalez,Orioles,171.1,0.14,0.65, , , , ,-2.21,-0.22, , ,0.5, , ,7024
Addison Reed,White Sox,71.1,1.35,1.55, , , , ,-0.75, , , ,3, , ,10586
Bronson Arroyo,Reds,202,1.45, ,-2.5,2.1, ,-1.14,2.61,-0.3, , ,-1.62, , ,978
Neil Wagner,Blue Jays,38,-0.31, ,3.62, , , ,0.11, , , ,1.42, , ,8162
Ernesto Frieri,Angels,68.2,1.38,0.23, , , , ,-4.44, , , ,-6.71, , ,5178
Joakim Soria,Rangers,23.2,1.05, ,0.65, , , ,2.11,0.2, , ,-1.87, , ,6941
Jared Burton,Twins,66,-0.89,-2.61,-0.4, , , ,1.91, , , ,2.01, , ,8346
Matt Garza,- - -,155.1,-0.4,0.67, , , , ,1.66,-1.42, , ,-3.56, , ,3340
A.J. Griffin,Athletics,200,-0.22, , , , , ,-1.26,1.28, , ,2.31, , ,11132
Samuel Deduno,Twins,108,0.76, ,-0.1, , , , ,-0.17, , ,-2.56, , ,5285
Corey Kluber,Indians,147.1,-1.47, , , , ,-1.41,2.68,0.54, , ,0.76, , ,2429
Darren Oliver,Blue Jays,49,-0.76,0.54, , , , ,1.35, , , ,-3.48, , ,206
Joe Paterson,Diamondbacks,2.1,5.48, , , , ,-7.41,2.14, , , , , , ,2565
Jose Ortega,Tigers,11.2,1.1,-0.73,6.44, , , ,-1.76,-0.83, , , , , ,9651
Kelvin Herrera,Royals,58.1,-0.33,0.13, , , , , ,-0.47, , ,0.99, , ,6033
Justin De Fratus,Phillies,46.2,-0.24,0.58, , , , ,0.01, , , ,-1.21, , ,4955
Drake Britton,Red Sox,21,0.6,4, ,-9.29, , ,-2.54,4.53, , ,6.51, , ,2868
Scott Feldman,- - -,181.2,1.31, ,0.43, , ,-0.17, ,0.59, , ,-0.9, , ,6283
Marco Estrada,Brewers,128,-0.03, , , , , , ,-0.47, , ,2.51, , ,1118
Ryan Pressly,Twins,76.2,-0.27,-3.78, , , , ,2.35,2.02, , ,1.35, , ,7005
Tom Gorzelanny,Brewers,85.1,-1.49,0.8, , , , ,0.5, , , ,1.58, , ,6244
Rob Wooten,Brewers,27.2,6.29,2.37,-3.56,0.81, , ,0.32,-5.79, , , , , ,8532
Josh Zeid,Astros,27.2,-0.21, ,0.6, , , ,0.15,1.52, , ,-0.63, , ,6527
Casey Fien,Twins,62,1.57,-4.85, , , , ,0.34,-0.18, , ,2.76, , ,3926
Jesse Chavez,Athletics,57.1,1.63,1.64,0.65, , , ,-8.46,1.63, , ,-3.65, , ,5448
Gonzalez Germen,Mets,34.1,-0.29, ,-1.64, , , ,-1.04,8.15, , ,1.29, , ,5876
Eric Stults,Padres,203.2,0.33,1.38, , , , ,0.63,-2.07, , ,-0.18, , ,8011
Chris Rusin,Cubs,66.1,0.2, , , , ,0.5,-0.35,-3.01, , ,-1.15, , ,9895
Jake Odorizzi,Rays,29.2,0.6,0, , , , ,-1.46,-0.66, , ,-0.33, , ,6397
Ian Krol,Nationals,27.1,1.57,-1.93,3.79,-1.1, , ,7.97,-1.8, , ,2.14, , ,10066
Dan Straily,Athletics,152.1,0.39,-1.34, , , , ,0.94,-0.31, , ,-0.74, , ,9460
Sean O'Sullivan,Padres,25,-1.73, ,7.42, , ,-3.32,0.86,-1.87, , ,0.4, , ,9137
Mike Adams,Phillies,25,2.08,-0.64, , , , ,-0.91,1.49, , ,-5.85, , ,1937
Ronald Belisario,Dodgers,68,-1.31, , , , ,0.22,-0.08, , , ,2.31, , ,2203
Pedro Feliciano,Mets,11.1, , ,6.72, , ,-0.07,0.99, , , ,-8.69, , ,1601
Lance Lynn,Cardinals,201.2,1.03,-0.48, , , , ,-1.49,-0.47, , ,-1.11, , ,2520
Tim Hudson,Braves,131.1,1.17, ,1.12,0.02, ,0.58, ,0.05, , , , , ,921
Jarrod Parker,Athletics,197,-0.7,1.11, , , , ,-0.34,-5.17, , ,0.53, , ,4913
Brad Lincoln,Blue Jays,31.2,-1.99,1.98, , , , , ,0.16, , ,2.96, , ,4241
Brian Duensing,Twins,61,0.59, , , , ,-1.05,0.71,-0.11, , ,-0.22, , ,4064
Trevor Cahill,Diamondbacks,146.2,-2, , , , ,-0.1,-0.95,-0.45, , ,0.25, , ,6249
Matt Cain,Giants,184.1,0.2,-1.4, , , , ,1.28,0.28, , ,0.53, , ,4732
Matt Guerrier,- - -,42.2,1.21,3.15,-2.21, , , , ,-3.46, , ,2.4, , ,2061
John Axford,- - -,65,-0.54,5.22, , , , ,0.42,-0.85, , ,5.3, , ,9059
Jason Vargas,Angels,150,-1.35,-2.09,-3.88, , , , ,1.03, , ,1.92, , ,8044
Jake McGee,Rays,62.2,0.51,1.56, , , , ,-2.39, , , , , , ,7550
Chaz Roe,Diamondbacks,22.1,-1.44,0.54,3.28, , , ,2.69,-3.53, , , , , ,9866
Jonathan Pettibone,Phillies,100.1,1,0.74,0.18, , , ,-2.82, , , ,-1.63, , ,7106
Ross Detwiler,Nationals,71.1,-0.12, , , , ,-0.65,-3.55, , , ,-4.23, , ,2859
Jeremy Guthrie,Royals,211.2,-0.54, ,-2.12, , ,0.06,-0.14,-1.19, ,-1.77,-0.66, , ,2072
Scott Kazmir,Indians,158,-1.18,0.51, , , , ,-0.65,-2.1, , ,0.57, , ,4897
Keith Butler,Cardinals,20,1.81,-0.48, , , , , ,2.07, , ,2.56, , ,10080
Andrew Albers,Twins,60,3.67,16.73,1.5, , ,-0.34,-1.66,2.03, , ,0.77, , ,7853
Jason Marquis,Padres,117.2,-0.01, , , , ,-0.85,-1.09, , , ,1.06, , ,105
Carlos Villanueva,Cubs,128.2,-0.54,0.62, , , , ,-0.47,0, ,1.39,1.58, , ,4138
Wilton Lopez,Rockies,75.1,-2.33,0, ,-0.04, ,1.23,-0.98, , , , , , ,4227
Wei-Yin Chen,Orioles,137,-0.53,-0.25, , , , ,0.99,0.81, , ,0.77, , ,13071
Vinnie Pestano,Indians,35.1,-1.26,-2.32, , , , ,0.64, , , , , , ,4782
Rafael Betancourt,Rockies,28.2,1.01, ,0.33, , , ,-1.06, , , ,0.5, , ,177
Logan Ondrusek,Reds,55,-2.07, ,1.84, , ,3.22,0.43, , , ,0.87, , ,3677
Henry Rodriguez,- - -,22,-0.87,-3.63, , , , ,0.09, , , ,2.06, , ,6371
Kevin Slowey,Marlins,92,-0.79, , , , ,-0.97,2.07,-2.45, , ,-0.33, , ,9918
Jonathan Broxton,Reds,30.2,-0.26,-0.02, , , , ,0.36,-12.31, , ,6.01, , ,4759
Heath Bell,Diamondbacks,65.2,-0.77, , , , ,9.45, ,-0.38, , ,9.74, , ,2080
Preston Claiborne,Yankees,50.1,0.64,-1.73, , , , ,-0.5, , , ,3.26, , ,10500
Robbie Erlin,Padres,54.2,1.11,0.34, , , , ,-1.3,-0.13, , ,-0.41, , ,10354
Tom Wilhelmsen,Mariners,59,0.97,-0.33, , , , , ,0.82, , ,0.9, , ,9975
Jose Cisnero,Astros,43.2,-0.64, ,0.95, , , ,-4.16,-0.59, , ,2.63, , ,6399
Alfredo Figaro,Brewers,74,-0.44,2.77, , , , ,-1.41, , , ,2.18, , ,8404
Cesar Ramos,Rays,67.1,-5.25, , , , ,0.33,1.8,-0.94, , ,2.1, , ,3357
Tommy Milone,Athletics,156.1,-1.07,-0.39,2.6, , , , ,-1.17, , ,0.85, , ,7608
Ross Wolf,Rangers,47.2,-1.2,-0.04, , , , ,-1.77, , , ,0.76, , ,4534
Mark Buehrle,Blue Jays,203.2,0.15,-1.01,0.14, , , , ,-1.47, , ,-0.45, , ,225
Nate Jones,White Sox,78,0.37,0.12, , , , ,1.16,0.05, , ,0.9, , ,4696
C.C. Lee,Indians,4.1,-0.06,-9.54, , , , , ,0.61, , , , , ,5177
Garrett Richards,Angels,145,-0.15,1.6,0.33, , , ,0.34,1.14, , ,-21.95, , ,9784
Jake Peavy,- - -,144.2,-0.16,1.34,0.35, , , ,-3.32,-0.87, , ,-0.71, , ,1051
Kevin Correia,Twins,185.1,-2.05,0.89,-0.07, , , ,0.02,-1.35, , ,-0.6, , ,1767
Bud Norris,- - -,176.2,-0.14,-3.97,-0.11, , , ,0.34, , , ,-2, , ,9492
Yovani Gallardo,Brewers,180.2,0.38,-0.61,4.89, , , ,-0.34,-0.37, , ,-1.05, , ,8173
Phillippe Aumont,Phillies,19.1, , , ,0.08, ,-1.73, ,-0.21, , , , , ,5362
Chia-Jen Lo,Astros,19.1,1.09, , , , , , ,-1.6, , ,1.84, , ,5440
Danny Farquhar,Mariners,55.2,1.16,2.55,0.66, , , ,4.9,1.53, , ,0.47, , ,8501
R.A. Dickey,Blue Jays,224.2,0.79, , , , , , , , ,3.21, , ,-0.41,1245
Jeurys Familia,Mets,10.2,-1.5, , , , ,-5.79,1.29, , , ,10.49, , ,5114
T.J. McFarland,Orioles,74.2,-0.93,1.13, , , , ,-4.77, , , ,0.5, , ,3237
Jose Mijares,Giants,49,-0.83,-3.61, , , , ,-1.56,0.12, , ,-0.32, , ,4140
Juan Gutierrez,- - -,55.1,1.22,-0.53, , , , , ,0.24, , ,-1.05, , ,3265
Joe Ortiz,Rangers,44.2,2, , , , ,-3.05,-0.86,3.79, , ,2.07, , ,7955
Evan Reed,Tigers,23.1,-1.24,-9.31,1.85, , , ,1.37, , , ,-1.91, , ,1349
Randall Delgado,Diamondbacks,116.1,0.19,-0.49, , , , , ,-2.4, , ,0.02, , ,5985
Chris Capuano,Dodgers,105.2,-0.68, , , , ,-0.58,-0.23,-4.86, , ,0.44, , ,1701
Frank Francisco,Mets,6.1,-0.42, , ,5.51, , , ,-0.6, , , , , ,1933
Michael Bowden,Cubs,37.2,1.77,0.18,0.53,2.95, , ,-2.54, , , ,-0.38, , ,4440
David Aardsma,Mets,39.2,-1.26, ,-3.56,-0.47, , ,1.62,-3.56, , ,4.17, , ,1902
Matt Belisle,Rockies,73,0.53,-6.15,-4.35, , , ,0.62,3.29, , ,-0.57, , ,1837
Rick Porcello,Tigers,177,-0.53,0.55, , , , ,0.36,-0.1, , ,0.74, , ,2717
Felix Doubront,Red Sox,162.1,-0.21,-0.23,0.22, , , , ,-1.14, , ,0.85, , ,1478
Todd Redmond,Blue Jays,77,-1.63,-13.63, , , ,0.36,-0.04,-0.53, , ,1.43, , ,9943
Chris Perez,Indians,54,-2.11,-6.31, , , , ,1.53, , , , , , ,5213
Josh Outman,Rockies,54,-0.81,6.95, , , , ,2.56, , , ,-0.93, , ,4004
Jeff Samardzija,Cubs,213.2,-0.56,-0.15,-1.23,0.17, , ,0.59, , , ,-0.6, , ,3254
Jeremy Hefner,Mets,130.2,0.31,-1.47, , , , ,2.08,-0.49, , ,-4.49, , ,1989
Josh Roenicke,Twins,62,-0.4,-4.68,2.78, , , ,0.26,-1.81, , ,1.91, , ,3241
Scott Atchison,Mets,45.1,0.43,-0.27, , , , ,0.2,-0.22, , ,-1.9, , ,2642
Wily Peralta,Brewers,183.1,-0.67,-0.49, , , , ,0.78, , , ,-1.34, , ,7738
Freddy Garcia,- - -,80.1,-2.3, , ,-0.39, ,-0.71,2.33,-0.63, , ,-2.17, , ,1077
Tim Lincecum,Giants,197.2,-0.75,-0.68, , , , ,0.81,0.79, , ,1.26, , ,5705
Evan Scribner,Athletics,26.2,-0.77, ,0.14, , , , ,-0.16, , ,2.48, , ,7525
Shawn Kelley,Yankees,53.1,0.2, ,16.73, , , ,-0.32, , , , , , ,7773
George Kontos,Giants,55.1,-2.67,-2.88, , , , ,2.15, , , ,2.8, , ,9486
Zach Miner,Phillies,28.2,-2.72, , , , ,0.72,-2.46,-0.49, , ,-0.09, , ,3193
Tom Koehler,Marlins,143,-1.34,0.28, , , , ,0.17,2.4, , ,-1.46, , ,6570
Carlos Marmol,- - -,49,-0.8,-0.38, , , , ,-0.24, , , , , , ,2790
Paul Maholm,Braves,153,-0.19,-0.35,-1.31, , , ,0.33,-1.83, ,-12.69,0.5, , ,8678
Daisuke Matsuzaka,Mets,38.2,0.06,5.53,-2.45,5.27, , ,-2.32,0.96, , ,-7.68, , ,7775
David Hernandez,Diamondbacks,62.1,-0.33,0.17, , , , , ,0.75, , ,-0.91, , ,4259
Steven Ames,Marlins,4,0.37,10.67, , , , ,-2.67, , , ,0.79, , ,9615
Brett Marshall,Yankees,12,-1.85,4.5,-0.47, , , ,-2.13,1.08, , ,-0.52, , ,5364
Brandon Beachy,Braves,30,0.26,-4.3, , , , ,-8.99,2, , ,2.33, , ,8851
Ramon Troncoso,White Sox,30,-0.04, , , , ,0.79,-4.32,1.42, , , , , ,4685
Kevin Jepsen,Angels,36,-0.79,-1.2,1.79, , ,3.79, ,1.62, , , , , ,6475
Alberto Cabrera,Cubs,6,-3.82,-1.07, , , , ,-2.34, , , ,2.85, , ,8352
Fernando Salas,Cardinals,28,1.99,2.56, , , , ,-0.65, , , ,-4.84, , ,4971
Drew Storen,Nationals,61.2,0.37, , , , ,-0.53,-0.36, , , ,2.11, , ,6983
Brandon McCarthy,Diamondbacks,135, , ,0.92,0.12, ,0.11, ,-1.86, , ,-8.8, , ,4662
Manny Corpas,Rockies,41.2,0.83, , , , ,0.84,-1.38, , , , , , ,2807
Pedro Strop,- - -,57.1,-4.51,0.01, , , , ,2.49, , , ,-5.4, , ,4070
J.A. Happ,Blue Jays,92.2,-0.53,-0.49, , , , ,-1.54,0.81, , ,1.51, , ,7410
Ryan Dempster,Red Sox,171.1,-0.28,-4.62,-0.62,1.53, , ,-0.6, , , , , , ,517
Jerome Williams,Angels,169.1,0.64, ,-1.07, , ,-1.25,-0.91,2.01, , ,-1.39, , ,1137
B.J. Rosenberg,Phillies,19.2,5.43,-1.06, , , , ,3.09,-3.62, , ,0.03, , ,7183
Michael Stutes,Phillies,17.2,0.93,5.95, , , , ,-0.74, , , ,-3.56, , ,6550
Erik Bedard,Astros,151,-0.28,-1.02,-3.32, , , , ,0.4, , ,0.12, , ,126
Al Alburquerque,Tigers,49,-3.95,-0.79, , , , ,1.43, , , , , , ,6324
Donnie Veal,White Sox,29.1,-1.38,1.23, , , , , ,1.54, , ,-3.87, , ,4741
Franklin Morales,Red Sox,25.1,0.13,3.06, , , , ,0.69,-2.93, , ,-3.6, , ,5088
Jake Westbrook,Cardinals,116.2, , ,0,0.11, ,-0.41, ,-0.63, , ,-1.91, , ,412
Dan Haren,Nationals,169.2,0.33,0.94,-1.4,-0.1, , , ,0.44,1.02, , , , ,1757
Billy Buckner,Angels,17.1,-0.89,4.49, , , , ,7.38,-1.96, , ,-3.02, , ,8253
Michael Gonzalez,Brewers,50,-0.46,-2.37, , , , ,-1.74, , , ,-1.95, , ,1794
Kyle Farnsworth,- - -,38.1,-2.31, ,-1.48, , ,-0.22,1.06, , , , , , ,278
Buddy Boshers,Angels,15.1,-2.47, , , , ,1.21,-4.06,0.99, , , , , ,8490
Kyle Kendrick,Phillies,182, , ,-0.26, , ,-0.12,-7.01, , , ,-0.96, , ,6230
John Danks,White Sox,138.1,-2.16,-0.46,-0.03, , , , ,-0.52, , ,0.18, , ,6329
Tyler Lyons,Cardinals,53,-1.31,-0.45, , , , ,1.75,2.67, , ,-1.04, , ,11334
Esmil Rogers,Blue Jays,137.2,-1.1,-1.06,2.54, , , ,0.62,-0.17, , ,-5.21, , ,6317
Hector Rondon,Cubs,54.2,0.17,0.76,-4.58, , , ,-2.03, , , ,4.9, , ,2391
CC Sabathia,Yankees,211,-0.46, , , , ,-1.8,1.19,0.17, , ,-1.54, , ,404
Jake Arrieta,- - -,75.1,-0.55, ,-9.48, , ,0.83,-0.51,-1.32, , ,3.49, , ,4153
Tony Sipp,Diamondbacks,37.2,-0.76,-0.11, , , , ,-0.39, , , ,-1.74, , ,8280
Jared Hughes,Pirates,32,-0.06, , , , ,-1.49,1.13, , , ,4.79, , ,9325
Andre Rienzo,White Sox,56,-1.65,-0.33,-1.65, , , ,0.67,0.64, , ,1.05, , ,3507
Travis Blackley,- - -,50.1,2.21,-2.69,3.07, , , ,5.15,-0.23, , ,0.09, , ,3234
Nick Tepesch,Rangers,93,-1.11, , , , ,-0.92,1.09,0.27, , ,-4.89, , ,11716
Darin Downs,Tigers,35.1,-0.79,-0.48,3.6, , , ,0.66,0.54, , ,-2.19, , ,5903
Alfredo Aceves,Red Sox,37,-4.38,2.69,0.46,-14.85, , ,-41.06,1.97, , ,-1.55, , ,5164
Lucas Luetge,Mariners,37,-1.4, , , , ,0.58,-1.64,0.9, , ,-2.66, , ,8337
Alex Sanabia,Marlins,55.1,0.1, , , , ,-2.62,-2.01, , , ,-0.31, , ,5350
Alex Wilson,Red Sox,27.2,-1.65,-3.02,-0.84, , ,10.9,0.42, , , ,0.91, , ,9239
Roberto Hernandez,Rays,151,-0.93, , , , ,-0.45,-1.53, , , ,0.34, , ,3273
Jair Jurrjens,Orioles,7.1,-4.82,10.21, , , , ,-4.26, , , ,2.64, , ,5556
Ian Kennedy,- - -,181.1,-1.16,-0.07,-2.05, , , ,-2.77,-0.14, , ,-0.24, , ,6986
Joba Chamberlain,Yankees,42,-0.42, , , , , ,-1.76,0.08, , ,1.36, , ,2692
Zach Britton,Orioles,40,-3.2,-1.37, , , , ,2.29, , , ,0.44, , ,3240
Brandon Workman,Red Sox,41.2,0.21,-4.82,-3.18, , , ,-10.78,-0.71,-1.41, ,0.6, , ,11428
Jason Hammel,Orioles,139.1,-1.35,-0.35, , , , ,-0.65,1.24, , ,-2.83, , ,4538
Josh Fields,Astros,38,0.42,5.95, , , , ,5.54,-3.68, , ,2.02, , ,5070
Erasmo Ramirez,Mariners,72.1,-0.91,-0.06,4.92, , , ,-0.63,-1.78, , ,-0.28, , ,10314
Edwin Jackson,Cubs,175.1,-0.6,-2.9, , , , ,0.86,-2.58, , ,-6.45, , ,1841
Brandon Lyon,Mets,34.1,-2.1,1.37,-0.51, , , ,-4.78,-0.48, , ,7.26, , ,1312
David Phelps,Yankees,86.2,0.5,-3.04,0.43, , , ,0.87,0.83,-2.85, ,1.26, , ,6316
Josh Lueke,Rays,21.1,0.01, , ,-0.24, , ,-3.96, , , , , , ,5722
Carlos Martinez,Cardinals,28.1,0.7,-1.31, , , , , ,1.28, , ,-1.42, , ,11682
Ted Lilly,Dodgers,23,-5.04, , , , ,-0.34,-3.47,1.31, , ,1.93, , ,833
Guillermo Moscoso,Giants,30,-0.52,3.15, ,-0.14, , ,-1.82,2.77, , ,0.47, , ,5106
John Gast,Cardinals,12.1,-1.22,-1.83, , , , , ,5.36, , ,2.49, , ,11133
Tyler Skaggs,Diamondbacks,38.2,-2.44,-0.15, , , , , ,2.06, , ,-1.36, , ,10190
Rob Scahill,Rockies,33.1,0.23,-3.49, , , , ,-2.5, , , ,0.48, , ,9286
Juan Nicasio,Rockies,157.2,-0.31,0.06, , , , ,-0.86, , , ,-2.59, , ,7731
Matt Langwell,- - -,14,-2.04,0.34,6.06, , , ,0.59,2.71, , ,-0.25, , ,8130
Brooks Raley,Cubs,14,0.25,-1.36, , , , ,-0.6,3.52, , ,-7.23, , ,10061
Dallas Keuchel,Astros,153.2,-0.28,-0.95,-1.33, , , ,-0.58,-1.51, , ,-0.93, , ,9434
Jeremy Hellickson,Rays,174,0.11,-1.06,-0.77, , , , ,-1.69, , ,0.49, , ,4371
Gavin Floyd,White Sox,24.1,-0.43,0.84,-6.23, , , , ,0.36, , ,-3.18, , ,3886
Brad Peacock,Astros,83.1,-0.81, , , , , ,1.76,-2.31,-1.02, ,-1.17, ,3.72,5401
Mike Pelfrey,Twins,152.2,-0.67, , ,-2.28, ,-0.36,-0.09,-0.2, , , , , ,5203
Phil Hughes,Yankees,145.2,-0.75, ,-2.59, , , ,-0.69,-0.27, , ,-2.99, , ,7450
Josh Beckett,Dodgers,43.1,-1.32,-3.94,-0.11, , , , ,-1.56, , ,1.41, , ,510
Kyuji Fujikawa,Cubs,12,0.81, , , , , ,-2.61,-33.11, , ,1.76, , ,14443
Joe Saunders,Mariners,183,-1.38,-0.24, , , , ,-1.81,-1.48, , ,-2.39, , ,4366
Shaun Marcum,Mets,78.1,-0.63,-1.19,-0.24, , , ,1.37,-1.56, , ,1.17, , ,6204
Trevor Bauer,Indians,17,-1.25, ,0.38, , , ,-3.08,3.55, , ,-6.3, , ,12703
Brandon League,Dodgers,54.1,-1.74, , ,-2.63, ,-0.53,-0.58, , , , , , ,3731
Wade Davis,Royals,135.1,0.3,-0.29,-1.9, , , , ,-0.37,-0.63, ,-4.86, , ,7441
John Lannan,Phillies,74.1,-1.36,-1.64, , , , ,-0.71,-0.31, , ,0.79, , ,7080
Clayton Mortensen,Red Sox,30.1,-3.49,-1.66, , , , ,1.36, , , ,0.81, , ,3166
Anthony Bass,Padres,42,-0.15,-6.42,-0.23, , , ,1.36, , , ,-5.57, , ,7982
Luis Mendoza,Royals,94,-0.29,-1.05, , , , ,-0.23,3.41, , ,-2.92, , ,3126
Steven Wright,Red Sox,13.1,4.46, ,-3.15, , , ,-2.3,-0.42, , ,2.89, ,0.32,8185
Wade LeBlanc,- - -,55,0.3,-3.05,-1.4, , , , ,-2.38, , ,-1.94, , ,5221
Aaron Harang,- - -,143.1,-0.05,-1.5, , , , ,-1.04,1.08, , ,-2.16, , ,1451
Cory Rasmus,- - -,21.2,-2.65,4.59,4.5, , , ,-5.1,1.78, , ,-0.4, , ,2413
Jeremy Bonderman,- - -,55,-2.62,1.29, , , , ,0.16, , , ,2.79, , ,1667
Luis Perez,Blue Jays,5,-2.07,-0.24, , , , ,4.15, , , ,6.22, , ,6389
Paul Clemens,Astros,73.1,-1.91,3.47, , , , , ,1.3, , ,-1.13, , ,8037
Phil Coke,Tigers,38.1,-0.75,-2.71, , , , ,1.42, , , ,0.97, , ,5535
Zach Phillips,Marlins,1.2,-0.05, , , , ,6.31,-15.13, , , , , , ,99
Jorge De Leon,Astros,10,-2.4, ,5.93, , , ,1.53, , , ,-0.46, , ,5397
Chang-Yong Lim,Cubs,5,3.49,-0.06,0.74, , , ,-18.01,0.47, , ,-4.45, , ,14445
Tommy Hanson,Angels,73,-2.53, , , , , ,0.2,1.81, , ,-1.26, , ,9129
Scott Diamond,Twins,131,-0.93, , , , , , ,-1.39, , ,-1.73, , ,5089
Josh Lindblom,Rangers,31.1,-1.25,0.68, , , , ,0.42,-1.67, , ,-1.9, , ,7882
Nick Hagadone,Indians,31.1,-0.48,1.71, , , , ,3.64, , , , , , ,1351
Carter Capps,Mariners,59,-1.45,-6.58, , , , ,1.04,-3.49,6.81, ,-2.87, , ,12803
David Huff,- - -,37.2,-0.18,3.55,-1.44, , , ,-1.51,0.68, , ,-1.31, , ,4257
Greg Reynolds,Reds,29.1,-0.51,-1.87, , , , ,-0.82,-3.79, , ,1.38, , ,5712
Zeke Spruill,Diamondbacks,11.1,-1.78, , , , ,-4.53,-0.89,-4.26, , , , , ,3873
