NAME,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,playerid
Sam Fuld,Rays,0.1,7.21, , , , , , , , , ,-4.56, , ,8254
Jeff Beliveau,Rays,0.2,-65.17,3.27,-4.23, , , , , , , , , , ,8504
Josh Tomlin,Indians,2,1.25, ,-1.81, , ,2.06, ,-0.11, , ,7.38, , ,9388
Miles Mikolas,Padres,1.2,3.77,1.51, , , , , ,-2.25, , , , , ,9803
Chris Dwyer,Royals,3,0.39, ,7.44, , , , ,5.17, , ,-2.85, , ,10045
Shawn Tolleson,Dodgers,0,-5.34, , , , , ,-5.89, , , , , , ,10481
Stephen Pryor,Mariners,7.1,3.56, , , , , ,4,3.79, , , , , ,10663
Heath Hembree,Giants,7.2,3.7, ,6.8, , , ,-0.01,-2.85, , ,-25.81, , ,11632
Kevin Siegrist,Cardinals,39.2,2.75,0.72, , , , ,-1.74,-0.46, , ,2.03, , ,8180
Louis Coleman,Royals,29.2,3.46,0.85, , , , ,3.61, , , ,20.49, , ,9720
Brian Wilson,Dodgers,13.2,3.7,7.5, , , , ,1.77,-2.85, , , , , ,6485
Jesse Crain,White Sox,36.2,0.98, , , , , ,1.68,-2.33, , ,3.61, , ,4817
Michael Tonkin,Twins,11.1,0.9,7.51,-3.56, , , ,-3.84,6.85, , ,-3.45, , ,10315
David Hale,Braves,11,1.65,1.69,-2.2, , , ,-0.31,2.08, , ,-3.67, , ,9756
Jeremy Jeffress,Blue Jays,10.1,-14.69,2.71, , , , , ,0.86, , , , , ,9490
Jimmy Nelson,Brewers,10,3.38,-5.22, , , , ,3.96,3.05, , ,9.99, , ,10547
Sean Burnett,Angels,9.2,5.56, , , , ,0.64,0.97, , , ,0.28, , ,1886
Koji Uehara,Red Sox,74.1,1.82,6.57, ,3.67, , ,-0.76, , , , , , ,9227
Neal Cotts,Rangers,57,1.13,2.72,3.65, , , ,1.53,-5.61, , ,8.97, , ,1797
Greg Holland,Royals,67,0.85, , , , , ,2.96,6.07, , ,3.72, , ,7196
Craig Kimbrel,Braves,67,1.58,-6.85, , , , ,3.59,-2.88,-0.64, ,5.3, , ,6655
Zac Rosscup,Cubs,6.2,-0.18,-2.85, , , , ,2.55, , , , , , ,9419
Dan Otero,Athletics,39,0.7, , , , ,0.76,3.17,-10.91, , ,7.31, , ,7385
Joe Nathan,Rangers,64.2,2.34,0.85,5.15, , , ,2.02,0.27, , , , , ,1122
Mark Melancon,Pirates,71,1.59, ,1.8, , , , ,1.46,2.75, ,-2.85, , ,4264
James Paxton,Mariners,24,0.96,-2.93, , , , ,-5.61,4.01, , ,4.26, , ,11828
Tanner Roark,Nationals,53.2,1.77, , , , , ,3.29,1.19, , ,2.61, , ,8753
Luis Avilan,Braves,65,0.08,2.17, , , , , ,0.35, , ,0.24, , ,2882
