"Name","Team","IP","RE24","ERA","ERA-","tERA","FIP","xFIP","xFIP-","SIERA","FIP-","playerid"
"Chris Rusin","Cubs","66.1","0.34","3.93","105","5.71","4.75","4.46","119","4.71","126","9895"
"Jake Odorizzi","Rays","29.2","2.28","3.94","102","4.66","3.89","4.33","109","4.06","100","6397"
"Ian Krol","Nationals","27.1","-4.26","3.95","105","5.11","4.69","4.07","108","3.67","126","10066"
"Dan Straily","Athletics","152.1","1.28","3.96","102","4.17","4.05","4.42","111","4.25","104","9460"
"Sean O'Sullivan","Padres","25.0","-1.80","3.96","112","3.91","3.89","5.64","150","5.57","104","9137"
"Mike Adams","Phillies","25.0","-0.59","3.96","106","5.05","5.25","3.80","101","3.48","137","1937"
"Ronald Belisario","Dodgers","68.0","-6.79","3.97","111","4.10","3.64","3.83","102","3.46","97","2203"
"Pedro Feliciano","Mets","11.1","1.66","3.97","113","4.45","4.46","4.76","127","4.40","119","1601"
"Lance Lynn","Cardinals","201.2","0.70","3.97","108","3.81","3.28","3.66","97","3.68","88","2520"
"Tim Hudson","Braves","131.1","-1.03","3.97","108","3.64","3.46","3.56","95","3.67","94","921"
"Jarrod Parker","Athletics","197.0","1.30","3.97","102","4.59","4.40","4.41","111","4.41","113","4913"
"Brad Lincoln","Blue Jays","31.2","-3.87","3.98","98","4.69","5.48","5.91","149","5.07","136","4241"
"Brian Duensing","Twins","61.0","-1.50","3.98","99","4.38","3.24","3.71","94","3.49","82","4064"
"Trevor Cahill","Diamondbacks","146.2","-4.85","3.99","102","5.02","4.26","4.11","109","4.30","113","6249"
"Matt Cain","Giants","184.1","-1.62","4.00","116","4.15","3.93","3.88","103","3.84","111","4732"
"Matt Guerrier","- - -","42.2","0.42","4.01","111","4.17","3.82","4.44","118","4.19","102","2061"
"John Axford","- - -","65.0","-4.80","4.02","104","5.37","4.34","3.56","94","3.34","111","9059"
"Jason Vargas","Angels","150.0","5.83","4.02","106","4.32","4.09","4.29","108","4.27","107","8044"
"Jake McGee","Rays","62.2","-1.97","4.02","104","3.41","3.41","3.11","78","2.67","88","7550"
"Chaz Roe","Diamondbacks","22.1","-1.20","4.03","104","4.22","4.39","3.68","98","3.59","116","9866"
"Jonathan Pettibone","Phillies","100.1","-3.89","4.04","108","4.77","4.18","4.30","114","4.46","109","7106"
"Ross Detwiler","Nationals","71.1","-4.27","4.04","108","4.52","3.66","4.25","113","4.37","98","2859"
"Jeremy Guthrie","Royals","211.2","3.02","4.04","100","5.62","4.79","4.55","115","4.72","122","2072"
"Scott Kazmir","Indians","158.0","-1.70","4.04","102","4.14","3.51","3.36","85","3.38","89","4897"
"Keith Butler","Cardinals","20.0","-0.08","4.05","110","3.29","3.25","5.43","145","4.81","87","10080"
"Andrew Albers","Twins","60.0","-3.06","4.05","100","4.35","3.96","4.42","111","4.63","100","7853"
"Jason Marquis","Padres","117.2","-14.29","4.05","114","6.06","5.65","4.81","128","5.14","152","105"
"Carlos Villanueva","Cubs","128.2","5.29","4.06","109","4.44","3.86","3.97","105","3.89","102","4138"
